species_id,species,level,move_id,move,name_zh_hans,reason
169,crobat,51,501,quick-guard,快速防守,status
183,marill,5,346,water-sport,玩水,status
183,marill,16,270,helping-hand,帮助,status
183,marill,28,392,aqua-ring,水流环,status
183,marill,31,240,rain-dance,求雨,status
184,azumarill,1,346,water-sport,玩水,status
184,azumarill,5,346,water-sport,玩水,status
184,azumarill,16,270,helping-hand,帮助,status
184,azumarill,31,392,aqua-ring,水流环,status
184,azumarill,35,240,rain-dance,求雨,status
194,wooper,5,300,mud-sport,玩泥巴,status
194,wooper,37,240,rain-dance,求雨,status
194,wooper,43,54,mist,白雾,status
194,wooper,43,114,haze,黑雾,status
195,quagsire,1,300,mud-sport,玩泥巴,status
195,quagsire,5,300,mud-sport,玩泥巴,status
195,quagsire,41,240,rain-dance,求雨,status
195,quagsire,48,54,mist,白雾,status
195,quagsire,48,114,haze,黑雾,status
196,espeon,1,270,helping-hand,帮助,status
196,espeon,29,244,psych-up,自我暗示,status
196,espeon,45,384,power-swap,力量互换,status
197,umbreon,1,270,helping-hand,帮助,status
197,umbreon,37,212,mean-look,黑色目光,status
197,umbreon,45,385,guard-swap,防守互换,status
212,scizor,5,116,focus-energy,聚气,status
261,poochyena,13,316,odor-sleuth,气味侦测,status
261,poochyena,16,46,roar,吼叫,status
261,poochyena,28,373,embargo,查封,status
261,poochyena,31,269,taunt,挑衅,status
262,mightyena,13,316,odor-sleuth,气味侦测,status
262,mightyena,16,46,roar,吼叫,status
262,mightyena,32,373,embargo,查封,status
262,mightyena,36,269,taunt,挑衅,status
278,wingull,12,54,mist,白雾,status
279,pelipper,1,366,tailwind,顺风,status
279,pelipper,1,487,soak,浸水,status
279,pelipper,1,346,water-sport,玩水,status
279,pelipper,12,54,mist,白雾,status
279,pelipper,25,182,protect,守住,status
279,pelipper,33,254,stockpile,蓄力,status
279,pelipper,33,255,spit-up,喷出,variable_or_zero_power
279,pelipper,39,374,fling,投掷,variable_or_zero_power
279,pelipper,44,366,tailwind,顺风,status
280,ralts,9,100,teleport,瞬间移动,status
280,ralts,14,381,lucky-chant,幸运咒语,status
280,ralts,19,505,heal-pulse,治愈波动,status
280,ralts,29,286,imprison,封印,status
281,kirlia,1,100,teleport,瞬间移动,status
281,kirlia,9,100,teleport,瞬间移动,status
281,kirlia,14,381,lucky-chant,幸运咒语,status
281,kirlia,19,505,heal-pulse,治愈波动,status
281,kirlia,33,286,imprison,封印,status
282,gardevoir,1,581,misty-terrain,薄雾场地,status
282,gardevoir,1,361,healing-wish,治愈之愿,status
282,gardevoir,1,100,teleport,瞬间移动,status
282,gardevoir,9,100,teleport,瞬间移动,status
282,gardevoir,14,273,wish,祈愿,status
282,gardevoir,19,505,heal-pulse,治愈波动,status
282,gardevoir,35,286,imprison,封印,status
285,shroomish,8,73,leech-seed,寄生种子,status
285,shroomish,22,388,worry-seed,烦恼种子,status
286,breloom,1,73,leech-seed,寄生种子,status
286,breloom,8,73,leech-seed,寄生种子,status
286,breloom,22,68,counter,双倍奉还,variable_or_zero_power
286,breloom,33,170,mind-reader,心之眼,status
298,azurill,1,150,splash,跃起,status
298,azurill,5,346,water-sport,玩水,status
298,azurill,16,270,helping-hand,帮助,status
322,numel,8,116,focus-energy,聚气,status
322,numel,12,222,magnitude,震级,variable_or_zero_power
322,numel,29,174,curse,诅咒,status
323,camerupt,1,90,fissure,地裂,variable_or_zero_power
323,camerupt,1,116,focus-energy,聚气,status
323,camerupt,8,116,focus-energy,聚气,status
323,camerupt,12,222,magnitude,震级,variable_or_zero_power
323,camerupt,29,174,curse,诅咒,status
323,camerupt,59,90,fissure,地裂,variable_or_zero_power
361,snorunt,32,182,protect,守住,status
361,snorunt,50,258,hail,冰雹,status
362,glalie,1,329,sheer-cold,绝对零度,variable_or_zero_power
362,glalie,32,182,protect,守住,status
362,glalie,54,258,hail,冰雹,status
362,glalie,61,329,sheer-cold,绝对零度,variable_or_zero_power
380,latias,1,361,healing-wish,治愈之愿,status
380,latias,1,270,helping-hand,帮助,status
380,latias,1,273,wish,祈愿,status
380,latias,1,149,psywave,精神波,variable_or_zero_power
380,latias,1,219,safeguard,神秘守护,status
380,latias,4,346,water-sport,玩水,status
380,latias,16,505,heal-pulse,治愈波动,status
380,latias,28,375,psycho-shift,精神转移,status
380,latias,36,513,reflect-type,镜面属性,status
380,latias,46,470,guard-split,防守平分,status
380,latias,61,361,healing-wish,治愈之愿,status
381,latios,1,262,memento,临别礼物,status
381,latios,1,270,helping-hand,帮助,status
381,latios,1,377,heal-block,回复封锁,status
381,latios,1,149,psywave,精神波,variable_or_zero_power
381,latios,1,219,safeguard,神秘守护,status
381,latios,4,182,protect,守住,status
381,latios,16,505,heal-pulse,治愈波动,status
381,latios,28,375,psycho-shift,精神转移,status
381,latios,36,477,telekinesis,意念移物,status
381,latios,46,471,power-split,力量平分,status
381,latios,61,262,memento,临别礼物,status
